Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
International migrant stock (% of population),SM.POP.TOTL.ZS,Arab World,ARB,6.251599101,5.698050985,..,..,..,7.977127556,..,..,..,..,8.914308324,..
International migrant stock (% of population),SM.POP.TOTL.ZS,East Asia & Pacific,EAS,0.638675004,0.774455652,..,..,..,1.046722651,..,..,..,..,1.13354526,..
International migrant stock (% of population),SM.POP.TOTL.ZS,East Asia & Pacific (excluding high income),EAP,0.160026664,0.226191037,..,..,..,0.377358801,..,..,..,..,0.413520263,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Euro area,EMU,6.500937007,8.18188348,..,..,..,11.86665901,..,..,..,..,12.21910317,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Europe & Central Asia,ECS,6.965911121,7.441619613,..,..,..,9.023177097,..,..,..,..,9.474099502,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Europe & Central Asia (excluding high income),ECA,7.772400811,7.07391494,..,..,..,6.4858269,..,..,..,..,6.858796299,..
International migrant stock (% of population),SM.POP.TOTL.ZS,European Union,EUU,5.679887737,7.065445111,..,..,..,10.24518355,..,..,..,..,10.72578168,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Heavily indebted poor countries (HIPC),HPC,3.317483934,2.209907089,..,..,..,1.643863348,..,..,..,..,1.66533664,..
International migrant stock (% of population),SM.POP.TOTL.ZS,High income,HIC,7.611856684,9.405515094,..,..,..,12.44210501,..,..,..,..,13.24108239,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Latin America & Caribbean,LCN,1.564563456,1.20277233,..,..,..,1.335182901,..,..,..,..,1.413732134,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Latin America & Caribbean (excluding high income),LAC,1.163365954,0.825922783,..,..,..,0.928274043,..,..,..,..,0.981475519,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Least developed countries: UN classification,LDC,2.149506977,1.506576246,..,..,..,1.163613518,..,..,..,..,1.250912349,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Low & middle income,LMY,1.759117178,1.391541224,..,..,..,1.311065174,..,..,..,..,1.376902622,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Low income,LIC,2.846321948,1.96477065,..,..,..,1.605379951,..,..,..,..,1.571072115,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Lower middle income,LMC,1.670382535,1.153266937,..,..,..,0.938393579,..,..,..,..,0.89126888,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Middle East & North Africa,MEA,7.136698617,6.376744759,..,..,..,8.417421429,..,..,..,..,9.255826677,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Middle East & North Africa (excluding high income),MNA,3.664222131,2.917739531,..,..,..,3.088955836,..,..,..,..,3.289621578,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Middle income,MIC,1.662362628,1.33357959,..,..,..,1.275869791,..,..,..,..,1.352162982,..
International migrant stock (% of population),SM.POP.TOTL.ZS,North America,NAC,9.847148415,12.86445118,..,..,..,14.88388826,..,..,..,..,15.22758599,..
International migrant stock (% of population),SM.POP.TOTL.ZS,OECD members,OED,6.010927692,7.479147411,..,..,..,9.560107038,..,..,..,..,10.04908203,..
International migrant stock (% of population),SM.POP.TOTL.ZS,South Asia,SAS,1.336843974,0.900326861,..,..,..,0.711028963,..,..,..,..,0.654289827,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Sub-Saharan Africa,SSF,2.822407125,2.01072642,..,..,..,1.725684653,..,..,..,..,1.87686892,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Sub-Saharan Africa (excluding high income),SSA,2.822071338,2.009982174,..,..,..,1.72460611,..,..,..,..,1.875806588,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Upper middle income,UMC,1.654884546,1.515354895,..,..,..,1.646387252,..,..,..,..,1.87665043,..
International migrant stock (% of population),SM.POP.TOTL.ZS,World,WLD,2.890747413,2.829291723,..,..,..,3.205390939,..,..,..,..,3.338048737,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Afghanistan,AFG,0.478024988,0.385327536,..,..,..,0.365657832,..,..,..,..,1.175546927,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Albania,ALB,2.011700305,2.456625875,..,..,..,1.818956864,..,..,..,..,1.98903641,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Algeria,DZA,1.057232756,0.802054717,..,..,..,0.67977278,..,..,..,..,0.611072023,..
International migrant stock (% of population),SM.POP.TOTL.ZS,American Samoa,ASM,45.2406258,43.30864713,..,..,..,42.33769502,..,..,..,..,41.80200943,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Andorra,AND,71.36908147,64.44441046,..,..,..,61.66028975,..,..,..,..,59.7136492,..
International migrant stock (% of population),SM.POP.TOTL.ZS,Angola,AGO,0.301198702,0.30618971,..,..,..,0.36074065,..,..,..,..,0.42700468,..
